simple_sku,brand,product_name,price,discounted_price,cat_m,parent_of_cat_1,category_1,picture_url,URL
UN308HLAKCO1ANPH-627467,Unbranded,Daylight LED Bulb Set of 6 (White),4800.00,499.82,Home & Living,Lighting,Lighting Bulbs & Components,http://srv-live.lazada.com.ph/p/image-779284-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fdaylight-led-bulb-set-of-6-white-482977.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
DA997HBAKEVZANPH-632146,Davidoff,Davidoff Cool Water Eau De Toilette for Women 100ml,4698.00,1200.00,Health & Beauty,Fragrances,Women - Eau De Toilette,http://srv-live.lazada.com.ph/p/image-558584-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fdavidoff-cool-water-eau-de-toilette-for-women-100ml-485855.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
MO360HBAKEZPANPH-632280,Monomola,Monomola Wow Long Lasting Lip Tattoo (Rose Pink),599.00,279.00,Health & Beauty,Makeup,Lips,http://srv-live.lazada.com.ph/p/image-989584-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fmonomola-wow-long-lasting-lip-tattoo-rose-pink-485989.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
US116ELAKF6HANPH-632600,USB World,Mini USB Desktop Cooling/Electric Fan (Black),599.00,250.00,Home Appliances,Cooling & Heating,Fans,http://srv-live.lazada.com.ph/p/image-332684-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fmini-usb-desktop-coolingelectric-fan-black-486233.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
GE526HLAKHO3ANPH-637005,Generic,Koii Power Juicer (Black),4999.00,1590.00,Home Appliances,Small Kitchen Appliances,Juicers & Fruit Extractors,http://srv-live.lazada.com.ph/p/image-954984-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fkoii-power-juicer-black-489459.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
MO360HBAKHSEANPH-637182,Monomola,Monomola Wow Long Lasting Lip Tattoo (Sexy Red),599.00,289.00,Health & Beauty,Makeup,Lips,http://srv-live.lazada.com.ph/p/image-416984-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fmonomola-wow-long-lasting-lip-tattoo-sexy-red-489614.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308ELAK3IPANPH-614156,Generic,HD DV 1080P 12MP Wifi Action Sports Camera (Black) with FREE 32GB Memory Card,5999.00,2599.00,Cameras,Video & Action Camcorder,Sport & Action Camera,http://srv-live.lazada.com.ph/p/image-121174-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fhd-dv-1080p-12mp-wifi-action-sports-camera-black-with-free-32gb-memory-card-471121.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HLAKKYWANPH-642279,Unbranded,#98 Type Rechargeable Cree LED Flashlight,968.00,439.00,Home & Living,Home Improvement,Flashlights,http://srv-live.lazada.com.ph/p/image-637394-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2F98-type-rechargeable-cree-led-flashlight-493736.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
AE912HBAKJYWANPH-640622,Aeonmedi,Aeonmedi A500LW08 Compressor Nebulizer (White),4000.00,1399.00,Health & Beauty,Medical Supplies,Nebulizer & Aspirators,http://srv-live.lazada.com.ph/p/image-044294-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Faeonmedi-a500lw08-compressor-nebulizer-white-492440.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
AW265ELAKL8UANPH-642637,Awei,Awei ES-Q5 Noise-Isolation Fabric-Cord Wooden In-Ear Headphone (Beige),495.00,395.00,"TV, Audio / Video, Gaming, Gadgets",Portable Audio,Headphones & Headsets,http://srv-live.lazada.com.ph/p/image-490494-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fawei-es-q5-noise-isolation-fabric-cord-wooden-in-ear-headphone-beige-494094.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
MO360HBAKKCEANPH-641158,Monomola,Monomola Wow Long Lasting Lip Tattoo 15g (Cherry Red),599.00,289.00,Health & Beauty,Makeup,Lips,http://srv-live.lazada.com.ph/p/image-629294-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fmonomola-wow-long-lasting-lip-tattoo-15g-cherry-red-492926.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HBAK4RSANPH-616031,Unbranded,Professional Cosmetics Make-Up Brushes 24-piece Set,3600.00,999.00,Health & Beauty,Makeup,Makeup Accessories,http://srv-live.lazada.com.ph/p/image-447274-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fprofessional-cosmetics-make-up-brushes-24-piece-set-472744.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HLAKJ6OANPH-639261,Unbranded,Rechargeable Police Flashlight with Stun Gun Taser (Black) Set of 5,2199.00,933.99,Home & Living,Home Improvement,Flashlights,http://srv-live.lazada.com.ph/p/image-424194-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Frechargeable-police-flashlight-with-stun-gun-taser-black-set-of-5-491424.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
FL000HLAKQL9ANPH-650670,Flashlight with Stun Gun Taser,Rechargeable Police Flashlight with Stun Gun Taser with FREE Streetwise Self Defense Metal Rod,1399.00,499.00,Home & Living,Home Improvement,Flashlights,http://srv-live.lazada.com.ph/p/image-120105-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Frechargeable-police-flashlight-with-stun-gun-taser-with-free-streetwise-self-defense-metal-rod-501021.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
VI012HBAKMPXANPH-644741,Victorias Secret,Victorias Secret Strawberry and Champagne Fragrance Mist for Women 250ml,595.00,445.00,Health & Beauty,Fragrances,Women - Body Spray,http://srv-live.lazada.com.ph/p/image-500694-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fvictorias-secret-strawberry-and-champagne-fragrance-mist-for-women-250ml-496005.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
PI652ELAKVQEANPH-657548,Pineng,Pineng PN-999 20000mAh Power Bank White with FREE Mini Metal Clip MP3 Player Green,4799.00,1099.00,Mobiles & Tablets,Batteries & Chargers,Power bank,http://srv-live.lazada.com.ph/p/image-686705-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fpineng-pn-999-20000mah-power-bank-white-with-free-mini-metal-clip-mp3-player-green-507686.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HAAKXBXANPH-660003,Unbranded,JK 1000W Power Vacuum Cleaner (Silver),2000.00,1255.00,Home Appliances,Housekeeping,Vacuum Cleaners,http://srv-live.lazada.com.ph/p/image-757905-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fjk-1000w-power-vacuum-cleaner-silver-509757.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
HU694OTAKXCRANPH-660033,Huang,Wallet Ninja 18-in-1 Tool,999.00,149.00,Home & Living,Stationery,School & Office Accessories,http://srv-live.lazada.com.ph/p/image-787905-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fwallet-ninja-18-in-1-tool-509787.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
KI931HBAKXOGANPH-660474,Kirkland Signature,Kirkland Signature Fish Oil Concentrate 1000mg Softgel Bottle of 400,3000.00,749.00,Health & Beauty,Food Supplements,,http://srv-live.lazada.com.ph/p/image-802015-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fkirkland-signature-fish-oil-concentrate-1000mg-softgel-bottle-of-400-510208.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
KI931HBAKXOKANPH-660478,Kirkland Signature,Kirkland Signature Vitamin C with Rose Hips and Citrus Bioflavonoid Complex 1000 mg Caplets Bottle of 500,2000.00,1100.00,Health & Beauty,Food Supplements,,http://srv-live.lazada.com.ph/p/image-212015-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fkirkland-signature-vitamin-c-with-rose-hips-and-citrus-bioflavonoid-complex-1000-mg-caplets-bottle-of-500-510212.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
WE857HBAKXOWANPH-660490,Weider,Weider Amino 6000 Supplement Capsules Bottle of 100,1499.00,599.00,Health & Beauty,Food Supplements,,http://srv-live.lazada.com.ph/p/image-422015-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fweider-amino-6000-supplement-capsules-bottle-of-100-510224.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
OP922HBAKXP1ANPH-660495,Optimum Nutrition,Optimum Nutrition Superior Amino 2222 Tablets Bottle of 320,3000.00,1189.00,Health & Beauty,Food Supplements,,http://srv-live.lazada.com.ph/p/image-922015-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Foptimum-nutrition-superior-amino-2222-tablets-bottle-of-320-510229.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308SPALDSRANPH-684967,Unbranded,Skateboard Plastic Skate (Blue),1999.00,399.00,Sports & Outdoors,Outdoor & Adventure,,http://srv-live.lazada.com.ph/p/image-990135-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fskateboard-plastic-skate-blue-531099.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
CA013HBAL8UQANPH-676348,Calvin Klein,Calvin Klein CK One Eau De Toilette For Men And Women 200ml,4498.00,1135.00,Health & Beauty,Fragrances,Women - Eau De Toilette,http://srv-live.lazada.com.ph/p/image-096425-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fcalvin-klein-ck-one-eau-de-toilette-for-men-and-women-200ml-524690.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
AC329ELALFD7ANPH-687183,Ace,"Ace 19"" HD LED TV Black SL-1905",7999.00,3788.00,"TV, Audio / Video, Gaming, Gadgets",Televisions,LED Televisions,http://srv-live.lazada.com.ph/p/image-131335-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Face-19-hd-led-tv-black-sl-1905-533131.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN011HBALE6WANPH-685495,United Colors of Benetton,United Colours of Benetton Lets Fly Series Eau De Toilette for Men 100ml,1450.00,650.00,Health & Beauty,Fragrances,Men - Eau De Toilette,http://srv-live.lazada.com.ph/p/image-806135-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Funited-colours-of-benetton-lets-fly-series-eau-de-toilette-for-men-100ml-531608.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
UN308HBAL90UANPH-676615,Unbranded,Waist Trimmer Belt (Nude),600.00,197.99,Fashion,Women,Clothing,http://srv-live.lazada.com.ph/p/image-019425-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fwaist-trimmer-belt-nude-524910.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
EL807FAALB7VANPH-680681,Elena,Elena E-3333 Shoulder with Sling Bag and Wallet (Apricot),1999.00,699.00,Fashion,Women,Bags,http://srv-live.lazada.com.ph/p/image-557725-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Felena-e-3333-shoulder-with-sling-bag-and-wallet-apricot-527755.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
HA976HLAKGD7ANPH-634695,Happy Cook,Happy Cook Aluminum Double-Sided Grill Pan 32cm (Red),1399.00,949.00,Home & Living,Kitchen & Dining,Cookware,http://srv-live.lazada.com.ph/p/image-177784-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fhappy-cook-aluminum-double-sided-grill-pan-32cm-red-487771.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
LB087ELAKGD8ANPH-634696,LB-Link,LB-Link BL-WN151 150mbps Mini WiFi USB Adapter,350.00,350.00,Computers & Laptops,Network Components,Wireless USB Adapters,http://srv-live.lazada.com.ph/p/image-277784-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Flb-link-bl-wn151-150mbps-mini-wifi-usb-adapter-487772.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
MA813SPALEH8ANPH-685875,Mars Kingdom,Mars Kingdom M-163 ODS Mountain Bike (Black/Green),11714.00,5700.00,Sports & Outdoors,Outdoor & Adventure,Cycling,http://srv-live.lazada.com.ph/p/image-089135-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2Fmars-kingdom-m-163-ods-mountain-bike-blackgreen-531980.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
GE526HAALLHJANPH-696917,Generic,12 Stitch Expert Sewing Machine (Pink),5999.00,2599.00,Home Appliances,Garment Care,Sewing Machines,http://srv-live.lazada.com.ph/p/image-360145-1-product.jpg,http://ho.lazada.com.ph/SHAkr6?url=http%3A%2F%2Fwww.lazada.com.ph%2F12-stitch-expert-sewing-machine-pink-541063.html%3Foffer_id%3D%7Boffer_id%7D%26affiliate_id%3D%7Baffiliate_id%7D%26offer_name%3D%7Boffer_name%7D_%7Boffer_file_id%7D%26affiliate_name%3D%7Baffiliate_name%7D%26transaction_id%3D%7Btransaction_id%7D
